项目简称,元素符号,单位,STD0,STD1,STD2,STD3,STD4,STD5,上限,定量限,高值,低值,最大允许RSD,小数位数,QC1传输字符串,QC2传输字符串,上传模板路径,汇总池路径
V7,Mg,mg/L,0,0.2,0.5,1,2,4,,,50.6,26.4,5,1,QC1111,QC222,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload.csv;C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload-1.csv,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\
V7,Mn,μg/L,0,0.25,0.5,1,2,4,80,3,21.6,,10,1,,,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload.csv;C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload-1.csv,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\
V7,Fe,mg/L,0,2,5,10,20,40,,,573,373,5,1,,,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload.csv;C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload-1.csv,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\
V7,Cu,μg/L,0,3,15,30,150,300,,,1550,660,5,1,,,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload.csv;C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload-1.csv,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\
V7,Zn,mg/L,0,0.01,0.05,0.1,0.5,1,,,7.3,,5,1,,,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload.csv;C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload-1.csv,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\
V7,Pb,μg/L,0,0.5,2.5,5,25,50,1000,2,85,,10,1,,,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload.csv;C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload-1.csv,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\
V7,Ca,mg/L,0,0.4,1,2,4,8,,,84,46,5,1,,,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload.csv;C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload-1.csv,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\
U,Cu,μg/L,0,3,15,30,150,300,,,,,5,1,,,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload.csv;C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload-1.csv,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\
U,Zn,mg/L,0,0.01,0.05,0.1,0.5,1,,,,,5,1,,,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload.csv;C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload-1.csv,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\
U,Pb,μg/L,0,0.5,2.5,5,25,50,,,,,5,1,,,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload.csv;C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload-1.csv,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\
X,Cu,μg/L,0,3,15,30,150,300,,,,,5,2,,,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload.csv;C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload-1.csv,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\
X,Zn,mg/L,0,0.01,0.05,0.1,0.5,1,,,,,5,2,,,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload.csv;C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload-1.csv,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\
I,I,μg/L,,,,,,,1000,6.7,500,50,5,1,,,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload.csv;C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload-1.csv,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\
A,Se,mg/L,,,,,,,600,6,200,,5,2,,,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload.csv;C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload-1.csv,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\
S,Se,mg/L,,,,,,,1000,6.7,500,50,5,3,,,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload.csv;C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload-1.csv,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\
L,Li,nmol/L,,,,,,,1.5,0.2,1,,5,1,,,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload.csv;C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\upload-1.csv,C:\Users\马扬杰\Desktop\元素杂项原始数据\杂项原始数据\
